scientificName,latitude,longitude,country,year,month,day
Arabidopsis thaliana (L.) Heynh.,47.57805,-122.169638,United States of America,2025.0,1.0,1.0
Arabidopsis thaliana (L.) Heynh.,47.458122,-122.249787,United States of America,2025.0,1.0,2.0
Arabidopsis thaliana (L.) Heynh.,47.483028,-122.219628,United States of America,2025.0,1.0,17.0
Arabidopsis thaliana (L.) Heynh.,40.490622,-74.43688,United States of America,2024.0,1.0,5.0
Arabidopsis thaliana (L.) Heynh.,40.490637,-74.43688,United States of America,2024.0,1.0,5.0
Arabidopsis thaliana (L.) Heynh.,42.495616,-71.051196,United States of America,2024.0,1.0,13.0
Arabidopsis thaliana (L.) Heynh.,34.899417,-78.860912,United States of America,2024.0,1.0,13.0
Arabidopsis thaliana (L.) Heynh.,42.39377,-71.121139,United States of America,2024.0,1.0,25.0
Arabidopsis thaliana (L.) Heynh.,40.686061,-73.900786,United States of America,2024.0,2.0,10.0
Arabidopsis thaliana (L.) Heynh.,48.006644,-122.10418,United States of America,2024.0,2.0,10.0
Arabidopsis thaliana (L.) Heynh.,48.006778,-122.104308,United States of America,2024.0,2.0,10.0
Arabidopsis thaliana (L.) Heynh.,33.802153,-83.224569,United States of America,2024.0,2.0,17.0
Arabidopsis thaliana (L.) Heynh.,33.550758,-117.77678,United States of America,2024.0,2.0,21.0
Arabidopsis thaliana (L.) Heynh.,42.67713,-70.638992,United States of America,2024.0,2.0,10.0
Arabidopsis thaliana (L.) Heynh.,33.808063,-80.630012,United States of America,2024.0,2.0,24.0
Arabidopsis thaliana (L.) Heynh.,41.672428,-74.986623,United States of America,2024.0,2.0,25.0
Arabidopsis thaliana (L.) Heynh.,45.525652,-122.605553,United States of America,2024.0,2.0,29.0
Arabidopsis thaliana (L.) Heynh.,35.955375,-79.278358,United States of America,2024.0,2.0,29.0
Arabidopsis thaliana (L.) Heynh.,40.742104,-73.880621,United States of America,2024.0,3.0,3.0
Arabidopsis thaliana (L.) Heynh.,40.693342,-73.561906,United States of America,2024.0,3.0,3.0
Arabidopsis thaliana (L.) Heynh.,40.676905,-73.55925,United States of America,2024.0,3.0,3.0
Arabidopsis thaliana (L.) Heynh.,40.676955,-73.559263,United States of America,2024.0,3.0,3.0
Arabidopsis thaliana (L.) Heynh.,37.346653,-122.143464,United States of America,2024.0,3.0,5.0
Arabidopsis thaliana (L.) Heynh.,41.105237,-73.442148,United States of America,2024.0,3.0,7.0
