taxonID,scientificName,kingdom,phylum,class,order,family,genus,species,rank,status
0,incertae sedis,incertae sedis,,,,,,,KINGDOM,DOUBTFUL
1,Animalia,Animalia,,,,,,,KINGDOM,ACCEPTED
2,Archaea,Archaea,,,,,,,KINGDOM,ACCEPTED
3,Bacteria,Bacteria,,,,,,,KINGDOM,ACCEPTED
4,Chromista,Chromista,,,,,,,KINGDOM,ACCEPTED
5,Fungi,Fungi,,,,,,,KINGDOM,ACCEPTED
6,Plantae,Plantae,,,,,,,KINGDOM,ACCEPTED
7,Protozoa,Protozoa,,,,,,,KINGDOM,ACCEPTED
8,Viruses,Viruses,,,,,,,KINGDOM,ACCEPTED
9,Marchantiophyta,Plantae,Marchantiophyta,,,,,,PHYLUM,ACCEPTED
11,Ginkgophyta,Plantae,Tracheophyta,,,,,,PHYLUM,SYNONYM
12,Lycopodiophyta,Plantae,Tracheophyta,,,,,,PHYLUM,SYNONYM
13,Anthocerotophyta,Plantae,Anthocerotophyta,,,,,,PHYLUM,ACCEPTED
14,Tardigrada,Animalia,Tardigrada,,,,,,PHYLUM,ACCEPTED
17,Neocallimastigomycota,Fungi,Neocallimastigomycota,,,,,,PHYLUM,ACCEPTED
18,Glomeromycota,Fungi,Glomeromycota,,,,,,PHYLUM,ACCEPTED
19,Phoronida,Animalia,Phoronida,,,,,,PHYLUM,ACCEPTED
22,Gastrotricha,Animalia,Gastrotricha,,,,,,PHYLUM,ACCEPTED
25,Acidobacteria,Bacteria,Acidobacteriota,,,,,,PHYLUM,SYNONYM
26,Actinobacteria,Bacteria,Actinobacteriota,,,,,,PHYLUM,SYNONYM
28,Deferribacteres,Bacteria,Deferribacterota,,,,,,PHYLUM,SYNONYM
29,Fibrobacteres,Bacteria,Fibrobacterota,,,,,,PHYLUM,SYNONYM
30,Gemmatimonadetes,Bacteria,Gemmatimonadota,,,,,,PHYLUM,SYNONYM
31,Lentisphaerae,Bacteria,Verrucomicrobiota,,,,,,PHYLUM,SYNONYM
32,Oomycota,Chromista,Oomycota,,,,,,PHYLUM,ACCEPTED
33,Mycetozoa,Protozoa,Mycetozoa,,,,,,PHYLUM,ACCEPTED
34,Basidiomycota,Fungi,Basidiomycota,,,,,,PHYLUM,ACCEPTED
35,Bryophyta,Plantae,Bryophyta,,,,,,PHYLUM,ACCEPTED
36,Chlorophyta,Plantae,Chlorophyta,,,,,,PHYLUM,ACCEPTED
37,Glaucophyta,Plantae,Glaucophyta,,,,,,PHYLUM,ACCEPTED
38,Cercozoa,Chromista,Cercozoa,,,,,,PHYLUM,ACCEPTED
41,Euglenozoa,Protozoa,Euglenozoa,,,,,,PHYLUM,ACCEPTED
42,Annelida,Animalia,Annelida,,,,,,PHYLUM,ACCEPTED
43,Cnidaria,Animalia,Cnidaria,,,,,,PHYLUM,ACCEPTED
44,Chordata,Animalia,Chordata,,,,,,PHYLUM,ACCEPTED
45,Cycliophora,Animalia,Cycliophora,,,,,,PHYLUM,ACCEPTED
46,Thermodesulfobacteria,Bacteria,Desulfobacterota,,,,,,PHYLUM,SYNONYM
47,Thermotogae,Bacteria,Thermotogota,,,,,,PHYLUM,SYNONYM
48,Verrucomicrobia,Bacteria,Verrucomicrobiota,,,,,,PHYLUM,SYNONYM
49,Magnoliophyta,Plantae,Tracheophyta,,,,,,PHYLUM,SYNONYM
50,Echinodermata,Animalia,Echinodermata,,,,,,PHYLUM,ACCEPTED
51,Ctenophora,Animalia,Ctenophora,,,,,,PHYLUM,ACCEPTED
52,Mollusca,Animalia,Mollusca,,,,,,PHYLUM,ACCEPTED
53,Bryozoa,Animalia,Bryozoa,,,,,,PHYLUM,ACCEPTED
54,Arthropoda,Animalia,Arthropoda,,,,,,PHYLUM,ACCEPTED
55,Chaetognatha,Animalia,Chaetognatha,,,,,,PHYLUM,ACCEPTED
56,Sarcomastigophora,Protozoa,Sarcomastigophora,,,,,,PHYLUM,ACCEPTED
59,Pteridophyta,Plantae,Tracheophyta,,,,,,PHYLUM,SYNONYM
60,Psilophyta,Plantae,Tracheophyta,,,,,,PHYLUM,SYNONYM
61,Equisetophyta,Plantae,Tracheophyta,,,,,,PHYLUM,SYNONYM
62,Onychophora,Animalia,Onychophora,,,,,,PHYLUM,ACCEPTED
63,Nemertea,Animalia,Nemertea,,,,,,PHYLUM,ACCEPTED
64,Nematomorpha,Animalia,Nematomorpha,,,,,,PHYLUM,ACCEPTED
67,Acanthocephala,Animalia,Acanthocephala,,,,,,PHYLUM,ACCEPTED
68,Cyanobacteria,Bacteria,Cyanobacteria,,,,,,PHYLUM,ACCEPTED
69,Cryptophyta,Chromista,Cryptophyta,,,,,,PHYLUM,ACCEPTED
70,Haptophyta,Chromista,Haptophyta,,,,,,PHYLUM,ACCEPTED
73,Blastocladiomycota,Fungi,Blastocladiomycota,,,,,,PHYLUM,ACCEPTED
74,Sipuncula,Animalia,Sipuncula,,,,,,PHYLUM,ACCEPTED
75,Hemichordata,Animalia,Hemichordata,,,,,,PHYLUM,ACCEPTED
76,Placozoa,Animalia,Placozoa,,,,,,PHYLUM,ACCEPTED
77,Gnathostomulida,Animalia,Gnathostomulida,,,,,,PHYLUM,ACCEPTED
78,Gnetophyta,Plantae,Tracheophyta,,,,,,PHYLUM,SYNONYM
79,Crenarchaeota,Archaea,Thermoproteota,,,,,,PHYLUM,SYNONYM
80,Aquificae,Bacteria,Aquificota,,,,,,PHYLUM,SYNONYM
81,Bacteroidetes,Bacteria,Bacteroidota,,,,,,PHYLUM,SYNONYM
82,Chlamydiae,Bacteria,Chlamydiota,,,,,,PHYLUM,SYNONYM
