scientificName,latitude,longitude,country,year,month,day
Manihot esculenta Crantz,27.870916,-82.262146,United States of America,2025.0,1.0,9.0
Manihot esculenta Crantz,19.724346,-155.138781,United States of America,2025.0,1.0,13.0
Manihot esculenta Crantz,27.826004,-82.373894,United States of America,2024.0,1.0,3.0
Manihot esculenta Crantz,21.317339,-157.858339,United States of America,2024.0,4.0,28.0
Manihot esculenta Crantz,29.640492,-82.267747,United States of America,2024.0,4.0,24.0
Manihot esculenta Crantz,21.317422,-157.858367,United States of America,2024.0,4.0,28.0
Manihot esculenta Crantz,21.305301,-157.814187,United States of America,2024.0,4.0,29.0
Manihot esculenta Crantz,28.675364,-81.328139,United States of America,2024.0,5.0,29.0
Manihot esculenta Crantz,27.499749,-82.566931,United States of America,2024.0,7.0,3.0
Manihot esculenta Crantz,19.102433,-155.567108,United States of America,2024.0,8.0,22.0
Manihot esculenta Crantz,29.640881,-82.2681,United States of America,2024.0,8.0,23.0
Manihot esculenta Crantz,29.640797,-82.26823,United States of America,2024.0,8.0,23.0
Manihot esculenta Crantz,29.640904,-82.268083,United States of America,2024.0,8.0,23.0
Manihot esculenta Crantz,29.640742,-82.268109,United States of America,2024.0,8.0,23.0
Manihot esculenta Crantz,29.640911,-82.268275,United States of America,2024.0,8.0,23.0
Manihot esculenta Crantz,29.640787,-82.267983,United States of America,2024.0,8.0,23.0
Manihot esculenta Crantz,28.041153,-81.510696,United States of America,2024.0,8.0,30.0
Manihot esculenta Crantz,28.041229,-81.510628,United States of America,2024.0,8.0,30.0
Manihot esculenta Crantz,21.305128,-157.814293,United States of America,2024.0,9.0,4.0
Manihot esculenta Crantz,28.719338,-81.77042,United States of America,2024.0,9.0,13.0
Manihot esculenta Crantz,20.907997,-156.243988,United States of America,2024.0,9.0,19.0
Manihot esculenta Crantz,29.022464,-81.31718,United States of America,2024.0,9.0,22.0
Manihot esculenta Crantz,29.640917,-82.268333,United States of America,2024.0,10.0,11.0
Manihot esculenta Crantz,30.335707,-81.64975,United States of America,2024.0,10.0,16.0
Manihot esculenta Crantz,30.503334,-95.036499,United States of America,2024.0,10.0,17.0
Manihot esculenta Crantz,40.86,-73.873558,United States of America,2024.0,10.0,10.0
Manihot esculenta Crantz,28.593338,-81.726494,United States of America,2024.0,11.0,2.0
Manihot esculenta Crantz,27.259595,-80.334045,United States of America,2024.0,11.0,3.0
Manihot esculenta Crantz,27.229213,-80.398645,United States of America,2024.0,11.0,8.0
Manihot esculenta Crantz,28.758247,-81.264648,United States of America,2024.0,11.0,10.0
Manihot esculenta Crantz,27.437713,-80.353997,United States of America,2024.0,11.0,30.0
Manihot esculenta Crantz,19.578809,-154.966407,United States of America,2024.0,11.0,30.0
Manihot esculenta Crantz,20.920915,-156.271785,United States of America,2024.0,12.0,11.0
Manihot esculenta Crantz,27.227555,-80.357362,United States of America,2024.0,12.0,12.0
Manihot esculenta Crantz,21.508174,-158.022306,United States of America,2023.0,2.0,20.0
Manihot esculenta Crantz,29.680242,-82.33169,United States of America,2023.0,4.0,30.0
Manihot esculenta Crantz,28.027442,-82.440405,United States of America,2023.0,5.0,29.0
Manihot esculenta Crantz,27.317978,-82.50338,United States of America,2023.0,7.0,26.0
Manihot esculenta Crantz,21.432453,-157.810042,United States of America,2023.0,8.0,6.0
Manihot esculenta Crantz,28.009683,-80.63028,United States of America,2023.0,9.0,6.0
Manihot esculenta Crantz,40.86,-73.873558,United States of America,2023.0,9.0,15.0
Manihot esculenta Crantz,28.373962,-81.553207,United States of America,2023.0,10.0,27.0
Manihot esculenta Crantz,27.025283,-80.49237,United States of America,2023.0,11.0,10.0
Manihot esculenta Crantz,21.432562,-157.809967,United States of America,2023.0,11.0,24.0
Manihot esculenta Crantz,28.649622,-81.288169,United States of America,2023.0,12.0,24.0
Manihot esculenta Crantz,28.649658,-81.288194,United States of America,2023.0,12.0,24.0
Manihot esculenta Crantz,28.045151,-82.176599,United States of America,2022.0,1.0,8.0
Manihot esculenta Crantz,26.139783,-80.181003,United States of America,2022.0,1.0,28.0
Manihot esculenta Crantz,21.37347,-157.72635,United States of America,2022.0,3.0,18.0
Manihot esculenta Crantz,20.986203,-156.67092,United States of America,2022.0,3.0,5.0
Manihot esculenta Crantz,20.843808,-156.651475,United States of America,2022.0,3.0,26.0
Manihot esculenta Crantz,25.519014,-80.393692,United States of America,2022.0,4.0,26.0
Manihot esculenta Crantz,27.04253,-82.318344,United States of America,2022.0,5.0,12.0
Manihot esculenta Crantz,20.908009,-156.244078,United States of America,2022.0,5.0,19.0
Manihot esculenta Crantz,21.364636,-157.84276,United States of America,2022.0,5.0,19.0
Manihot esculenta Crantz,29.863068,-95.701176,United States of America,2022.0,5.0,6.0
Manihot esculenta Crantz,28.989884,-81.325094,United States of America,2022.0,5.0,19.0
Manihot esculenta Crantz,26.210681,-81.627836,United States of America,2022.0,5.0,22.0
Manihot esculenta Crantz,26.655498,-81.567875,United States of America,2022.0,5.0,29.0
Manihot esculenta Crantz,19.661553,-155.957213,United States of America,2022.0,6.0,6.0
Manihot esculenta Crantz,29.57541,-82.390754,United States of America,2022.0,6.0,10.0
Manihot esculenta Crantz,28.489835,-81.295088,United States of America,2022.0,6.0,18.0
Manihot esculenta Crantz,25.762924,-80.414122,United States of America,2022.0,6.0,18.0
Manihot esculenta Crantz,29.024107,-81.049599,United States of America,2022.0,7.0,2.0
Manihot esculenta Crantz,27.988857,-82.55174,United States of America,2022.0,7.0,27.0
Manihot esculenta Crantz,28.885185,-81.236721,United States of America,2022.0,7.0,6.0
Manihot esculenta Crantz,28.601518,-81.668696,United States of America,2022.0,7.0,24.0
Manihot esculenta Crantz,19.67786,-155.053215,United States of America,2022.0,8.0,7.0
Manihot esculenta Crantz,19.468863,-155.907028,United States of America,2022.0,8.0,10.0
Manihot esculenta Crantz,22.189746,-159.454698,United States of America,2022.0,9.0,15.0
Manihot esculenta Crantz,22.189743,-159.454684,United States of America,2022.0,9.0,15.0
Manihot esculenta Crantz,27.301358,-82.463316,United States of America,2022.0,9.0,27.0
Manihot esculenta Crantz,29.690273,-82.374201,United States of America,2022.0,10.0,10.0
Manihot esculenta Crantz,28.080154,-81.719634,United States of America,2022.0,10.0,24.0
Manihot esculenta Crantz,27.145841,-80.226725,United States of America,2022.0,10.0,26.0
Manihot esculenta Crantz,29.708792,-82.500465,United States of America,2022.0,11.0,11.0
Manihot esculenta Crantz,21.642391,-157.921166,United States of America,2022.0,11.0,2.0
Manihot esculenta Crantz,28.48111,-81.527462,United States of America,2022.0,11.0,6.0
Manihot esculenta Crantz,27.049316,-80.237243,United States of America,2022.0,11.0,12.0
Manihot esculenta Crantz,19.859694,-155.104344,United States of America,2021.0,1.0,1.0
Manihot esculenta Crantz,30.426588,-84.27755,United States of America,2021.0,4.0,4.0
Manihot esculenta Crantz,28.044818,-82.176908,United States of America,2021.0,4.0,20.0
Manihot esculenta Crantz,28.321211,-81.354358,United States of America,2021.0,4.0,14.0
Manihot esculenta Crantz,27.118955,-82.239278,United States of America,2021.0,4.0,24.0
Manihot esculenta Crantz,27.269198,-82.555903,United States of America,2021.0,5.0,2.0
Manihot esculenta Crantz,28.529196,-81.269781,United States of America,2021.0,5.0,9.0
Manihot esculenta Crantz,27.288717,-82.498428,United States of America,2021.0,6.0,24.0
Manihot esculenta Crantz,27.954726,-82.100349,United States of America,2021.0,6.0,8.0
Manihot esculenta Crantz,25.790251,-80.211371,United States of America,2021.0,7.0,3.0
Manihot esculenta Crantz,28.009735,-82.132973,United States of America,2021.0,8.0,1.0
Manihot esculenta Crantz,26.984132,-82.0924,United States of America,2021.0,8.0,11.0
Manihot esculenta Crantz,27.244208,-80.40247,United States of America,2021.0,8.0,11.0
Manihot esculenta Crantz,19.51154,-155.921789,United States of America,2021.0,8.0,21.0
Manihot esculenta Crantz,28.547482,-81.300474,United States of America,2021.0,8.0,28.0
Manihot esculenta Crantz,29.738342,-95.39576,United States of America,2021.0,9.0,12.0
Manihot esculenta Crantz,19.922297,-155.178589,United States of America,2021.0,9.0,28.0
Manihot esculenta Crantz,26.715925,-80.059345,United States of America,2021.0,10.0,12.0
Manihot esculenta Crantz,29.630052,-82.299608,United States of America,2021.0,11.0,10.0
Manihot esculenta Crantz,30.546889,-87.673513,United States of America,2021.0,11.0,27.0
Manihot esculenta Crantz,26.679187,-81.963733,United States of America,2021.0,11.0,6.0
Manihot esculenta Crantz,29.247773,-81.46763,United States of America,2021.0,11.0,20.0
Manihot esculenta Crantz,30.028684,-95.559754,United States of America,2021.0,11.0,21.0
Manihot esculenta Crantz,21.293666,-157.801132,United States of America,2021.0,12.0,29.0
Manihot esculenta Crantz,28.193421,-82.731447,United States of America,2020.0,1.0,11.0
Manihot esculenta Crantz,28.251199,-81.260383,United States of America,2020.0,5.0,2.0
Manihot esculenta Crantz,28.356451,-81.435508,United States of America,2020.0,6.0,28.0
Manihot esculenta Crantz,28.679624,-80.858572,United States of America,2020.0,7.0,6.0
Manihot esculenta Crantz,28.607581,-81.380512,United States of America,2020.0,7.0,9.0
Manihot esculenta Crantz,27.918331,-81.532084,United States of America,2020.0,7.0,9.0
Manihot esculenta Crantz,28.16562,-80.681599,United States of America,2020.0,7.0,20.0
Manihot esculenta Crantz,28.88213,-81.238229,United States of America,2020.0,7.0,22.0
Manihot esculenta Crantz,28.88213,-81.238229,United States of America,2020.0,7.0,22.0
Manihot esculenta Crantz,28.88213,-81.238229,United States of America,2020.0,7.0,22.0
Manihot esculenta Crantz,28.88213,-81.238229,United States of America,2020.0,7.0,22.0
Manihot esculenta Crantz,25.871667,-80.2125,United States of America,2020.0,7.0,23.0
Manihot esculenta Crantz,27.288631,-82.498467,United States of America,2020.0,8.0,27.0
Manihot esculenta Crantz,27.288722,-82.497986,United States of America,2020.0,8.0,27.0
Manihot esculenta Crantz,29.525982,-81.214679,United States of America,2020.0,8.0,14.0
Manihot esculenta Crantz,20.826719,-156.34059,United States of America,2020.0,8.0,15.0
Manihot esculenta Crantz,27.955794,-81.890319,United States of America,2020.0,9.0,22.0
Manihot esculenta Crantz,28.095107,-81.794316,United States of America,2020.0,9.0,19.0
Manihot esculenta Crantz,27.379577,-82.561862,United States of America,2020.0,10.0,27.0
Manihot esculenta Crantz,27.938528,-80.634609,United States of America,2020.0,10.0,25.0
Manihot esculenta Crantz,28.473388,-81.265132,United States of America,2020.0,11.0,17.0
Manihot esculenta Crantz,29.680328,-82.366075,United States of America,2020.0,11.0,18.0
Manihot esculenta Crantz,26.92161,-82.032158,United States of America,2020.0,12.0,2.0
Manihot esculenta Crantz,27.494031,-82.592723,United States of America,2019.0,5.0,31.0
Manihot esculenta Crantz,30.473834,-84.338139,United States of America,2019.0,6.0,21.0
Manihot esculenta Crantz,22.080562,-159.37863,United States of America,2019.0,6.0,9.0
Manihot esculenta Crantz,21.38719,-157.752216,United States of America,2019.0,7.0,25.0
Manihot esculenta Crantz,28.679325,-81.205934,United States of America,2019.0,8.0,3.0
Manihot esculenta Crantz,27.771919,-80.489776,United States of America,2019.0,8.0,4.0
Manihot esculenta Crantz,27.771965,-80.489756,United States of America,2019.0,8.0,4.0
Manihot esculenta Crantz,27.438028,-82.58264,United States of America,2019.0,8.0,19.0
Manihot esculenta Crantz,28.120438,-81.448878,United States of America,2019.0,9.0,15.0
Manihot esculenta Crantz,30.170894,-81.718263,United States of America,2019.0,9.0,20.0
Manihot esculenta Crantz,29.687976,-95.601119,United States of America,2019.0,10.0,1.0
Manihot esculenta Crantz,27.611977,-81.94418,United States of America,2019.0,10.0,31.0
Manihot esculenta Crantz,29.632044,-82.332568,United States of America,2019.0,11.0,4.0
Manihot esculenta Crantz,20.81125,-156.621297,United States of America,2018.0,9.0,22.0
Manihot esculenta Crantz,28.628242,-81.200837,United States of America,2016.0,7.0,11.0
Manihot esculenta Crantz,40.13,-82.94,United States of America,2015.0,1.0,15.0
Manihot esculenta Crantz,28.0261,-82.4289,United States of America,2015.0,12.0,6.0
Manihot esculenta Crantz,22.0916,-159.342,United States of America,2010.0,3.0,10.0
Manihot esculenta Crantz,33.23278,-117.23917,United States of America,2010.0,10.0,7.0
Manihot esculenta Crantz,38.55,-121.71667,United States of America,2007.0,5.0,26.0
Manihot esculenta Crantz,38.55,-121.71667,United States of America,2007.0,5.0,26.0
Manihot esculenta Crantz,30.888241,-84.207899,United States of America,2005.0,7.0,4.0
Manihot esculenta Crantz,30.890581,-84.207631,United States of America,2005.0,7.0,4.0
Manihot esculenta Crantz,30.877413,-84.20129,United States of America,2005.0,7.0,4.0
Manihot esculenta Crantz,30.890581,-84.207631,United States of America,2005.0,7.0,4.0
Manihot esculenta Crantz,38.541389,-121.751944,United States of America,2005.0,10.0,21.0
