Common Name,Scientific Name
Corn (Maize),Zea mays
Soybeans,Glycine max
Wheat,Triticum aestivum
Durum Wheat,Triticum durum
Cotton,Gossypium hirsutum
Cotton (Egyptian),Gossypium barbadense
Hay (Perennial Ryegrass),Lolium perenne
Hay (Timothy),Phleum pratense
Hay (Alfalfa),Medicago sativa
Rice,Oryza sativa
Tobacco,Nicotiana tabacum
Potatoes,Solanum tuberosum
Apples,Malus domestica
Tomatoes,Solanum lycopersicum
Strawberries,Fragaria × ananassa
Lettuce,Lactuca sativa
Grapes,Vitis vinifera
Citrus (Sweet Orange),Citrus sinensis
Citrus (Lemon),Citrus limon
Citrus (Mandarin Orange/Tangerine),Citrus reticulata
Citrus (Grapefruit),Citrus paradisi
Peanuts,Arachis hypogaea
Sweet Potatoes,Ipomoea batatas
Almonds,Prunus dulcis
Peas,Pisum sativum
Barley,Hordeum vulgare
Oats,Avena sativa
Canola (Rapeseed),Brassica napus
Sugar Beets,Beta vulgaris
Cherries (Sweet),Prunus avium
Cherries (Sour),Prunus cerasus
Blueberries,Vaccinium corymbosum
Raspberries,Rubus idaeus
