scientificName,latitude,longitude,country,year,month,day
Zea mays L.,44.091409,-87.845011,United States of America,2025.0,1.0,21.0
Zea mays L.,42.474374,-83.994637,United States of America,2024.0,1.0,2.0
Zea mays L.,34.1614,-118.184418,United States of America,2024.0,1.0,3.0
Zea mays L.,34.122232,-118.305873,United States of America,2024.0,1.0,5.0
Zea mays L.,42.474374,-83.994637,United States of America,2024.0,1.0,6.0
Zea mays L.,36.299203,-93.923988,United States of America,2024.0,1.0,4.0
Zea mays L.,25.901438,-80.145648,United States of America,2024.0,1.0,21.0
Zea mays L.,27.023939,-82.057525,United States of America,2024.0,3.0,12.0
Zea mays L.,29.631231,-98.401562,United States of America,2024.0,4.0,28.0
Zea mays L.,31.030833,-94.23085,United States of America,2024.0,5.0,18.0
Zea mays L.,34.189331,-79.74411,United States of America,2024.0,5.0,20.0
Zea mays L.,39.496689,-74.533631,United States of America,2024.0,6.0,5.0
Zea mays L.,39.152269,-84.434908,United States of America,2024.0,6.0,9.0
Zea mays L.,32.500091,-94.720715,United States of America,2024.0,6.0,9.0
Zea mays L.,30.288578,-97.725163,United States of America,2024.0,6.0,9.0
Zea mays L.,38.553406,-109.51815,United States of America,2024.0,6.0,23.0
Zea mays L.,29.566645,-98.46263,United States of America,2024.0,6.0,24.0
Zea mays L.,30.095,-99.349412,United States of America,2024.0,6.0,26.0
Zea mays L.,28.429042,-96.868045,United States of America,2024.0,6.0,25.0
Zea mays L.,36.857117,-81.655594,United States of America,2024.0,7.0,1.0
Zea mays L.,35.604828,-78.097351,United States of America,2024.0,7.0,7.0
Zea mays L.,42.406342,-86.128815,United States of America,2024.0,7.0,11.0
Zea mays L.,42.77277,-86.131675,United States of America,2024.0,7.0,11.0
Zea mays L.,40.605625,-111.949512,United States of America,2024.0,7.0,13.0
Zea mays L.,39.756202,-75.041356,United States of America,2024.0,7.0,13.0
Zea mays L.,28.228396,-82.376102,United States of America,2024.0,7.0,16.0
Zea mays L.,42.772462,-86.132264,United States of America,2024.0,7.0,11.0
Zea mays L.,33.5513,-101.860924,United States of America,2024.0,7.0,23.0
Zea mays L.,41.326111,-81.696007,United States of America,2024.0,7.0,23.0
Zea mays L.,37.793688,-122.199778,United States of America,2024.0,7.0,23.0
Zea mays L.,44.639591,-123.051439,United States of America,2024.0,7.0,26.0
Zea mays L.,33.409899,-111.948939,United States of America,2024.0,7.0,26.0
Zea mays L.,30.324181,-84.299252,United States of America,2024.0,7.0,28.0
Zea mays L.,45.398077,-122.613324,United States of America,2024.0,7.0,28.0
Zea mays L.,33.736221,-112.18444,United States of America,2024.0,7.0,31.0
Zea mays L.,39.067569,-77.107192,United States of America,2024.0,7.0,30.0
Zea mays L.,40.461894,-103.02929,United States of America,2024.0,8.0,21.0
Zea mays L.,43.666559,-96.156939,United States of America,2024.0,8.0,6.0
Zea mays subsp. mays,45.073235,-93.083378,United States of America,2024.0,8.0,10.0
Zea mays L.,40.139156,-103.776978,United States of America,2024.0,8.0,12.0
Zea mays L.,44.504486,-72.975868,United States of America,2024.0,8.0,13.0
Zea mays L.,38.156952,-77.59471,United States of America,2024.0,8.0,1.0
Zea mays L.,41.852286,-74.002379,United States of America,2024.0,8.0,14.0
Zea mays L.,37.672056,-77.854775,United States of America,2024.0,8.0,15.0
Zea mays L.,31.538285,-83.335873,United States of America,2024.0,8.0,23.0
Zea mays L.,40.422882,-86.917717,United States of America,2024.0,8.0,24.0
Zea mays L.,43.790926,-116.956325,United States of America,2024.0,8.0,24.0
Zea mays L.,47.102011,-122.279625,United States of America,2024.0,8.0,27.0
Zea mays L.,41.493633,-73.011183,United States of America,2024.0,8.0,31.0
Zea mays L.,39.861522,-82.973853,United States of America,2024.0,8.0,22.0
Zea mays L.,38.33258,-85.466773,United States of America,2024.0,9.0,1.0
Zea mays L.,40.458787,-79.96563,United States of America,2024.0,9.0,3.0
Zea mays L.,38.785522,-90.693375,United States of America,2024.0,9.0,3.0
Zea mays L.,44.66464,-85.932468,United States of America,2024.0,9.0,4.0
Zea mays L.,43.962189,-88.939201,United States of America,2024.0,9.0,5.0
Zea mays L.,38.545203,-90.397033,United States of America,2024.0,9.0,4.0
Zea mays L.,33.872108,-84.233292,United States of America,2024.0,9.0,5.0
Zea mays L.,35.178131,-111.657997,United States of America,2024.0,9.0,5.0
Zea mays L.,35.178131,-111.657883,United States of America,2024.0,9.0,5.0
Zea mays L.,35.178314,-111.658035,United States of America,2024.0,9.0,5.0
Zea mays L.,40.422926,-86.918004,United States of America,2024.0,9.0,9.0
Zea mays L.,39.262613,-84.694283,United States of America,2024.0,9.0,12.0
Zea mays L.,33.073205,-97.207439,United States of America,2024.0,9.0,12.0
Zea mays L.,44.446663,-93.187028,United States of America,2024.0,9.0,12.0
Zea mays L.,40.727803,-73.999083,United States of America,2024.0,9.0,17.0
Zea mays L.,41.218837,-75.842006,United States of America,2024.0,9.0,19.0
Zea mays L.,37.347155,-77.270042,United States of America,2024.0,9.0,20.0
Zea mays L.,32.462145,-90.08627,United States of America,2024.0,9.0,21.0
Zea mays L.,30.229815,-97.750972,United States of America,2024.0,9.0,27.0
Zea mays L.,38.761536,-75.805466,United States of America,2024.0,9.0,28.0
Zea mays L.,42.291693,-85.587229,United States of America,2024.0,9.0,30.0
Zea mays L.,48.490548,-122.487412,United States of America,2024.0,10.0,6.0
Zea mays L.,40.863057,-74.196795,United States of America,2024.0,10.0,14.0
Zea mays L.,40.863071,-74.196718,United States of America,2024.0,10.0,14.0
Zea mays L.,34.133988,-118.289249,United States of America,2024.0,10.0,18.0
Zea mays L.,39.542639,-76.264725,United States of America,2024.0,10.0,19.0
Zea mays L.,40.595828,-75.351883,United States of America,2024.0,10.0,19.0
Zea mays L.,47.018475,-123.423433,United States of America,2024.0,10.0,24.0
Zea mays L.,43.09138,-87.897451,United States of America,2024.0,10.0,24.0
