scientificName,latitude,longitude,country,year,month,day
Rubus idaeus subsp. strigosus (Michx.) Focke,44.693593,-90.079534,United States of America,2025.0,1.0,9.0
Rubus idaeus subsp. strigosus (Michx.) Focke,44.695237,-90.079553,United States of America,2025.0,1.0,12.0
Rubus idaeus subsp. strigosus (Michx.) Focke,44.69338,-90.083389,United States of America,2025.0,1.0,16.0
Rubus idaeus subsp. strigosus (Michx.) Focke,44.693417,-90.081908,United States of America,2025.0,1.0,16.0
Rubus idaeus subsp. strigosus (Michx.) Focke,44.694233,-90.081825,United States of America,2025.0,1.0,17.0
Rubus idaeus L.,47.312249,-92.619679,United States of America,2025.0,1.0,1.0
Rubus idaeus L.,47.170783,-92.537624,United States of America,2025.0,1.0,1.0
Rubus idaeus L.,47.169981,-92.538772,United States of America,2025.0,1.0,1.0
Rubus idaeus subsp. strigosus (Michx.) Focke,47.381391,-91.204412,United States of America,2024.0,1.0,10.0
Rubus idaeus L.,44.059577,-85.579798,United States of America,2024.0,3.0,28.0
Rubus idaeus L.,41.873502,-91.840491,United States of America,2024.0,4.0,14.0
Rubus idaeus L.,35.859375,-82.209732,United States of America,2024.0,4.0,18.0
Rubus idaeus L.,44.507678,-70.225115,United States of America,2024.0,4.0,18.0
Rubus idaeus L.,41.321765,-82.525523,United States of America,2024.0,4.0,18.0
Rubus idaeus L.,43.860514,-89.971368,United States of America,2024.0,4.0,20.0
Rubus idaeus L.,42.474787,-83.980871,United States of America,2024.0,4.0,22.0
Rubus idaeus L.,44.086822,-71.230696,United States of America,2024.0,4.0,19.0
Rubus idaeus subsp. strigosus (Michx.) Focke,48.061457,-113.990687,United States of America,2024.0,4.0,26.0
Rubus idaeus L.,35.838726,-106.363268,United States of America,2024.0,4.0,26.0
Rubus idaeus L.,41.51599,-75.68533,United States of America,2024.0,4.0,29.0
Rubus idaeus L.,42.125888,-79.929144,United States of America,2024.0,4.0,29.0
Rubus idaeus L.,44.478927,-73.186321,United States of America,2024.0,4.0,29.0
Rubus idaeus subsp. strigosus (Michx.) Focke,44.40064,-118.328255,United States of America,2024.0,4.0,30.0
Rubus idaeus L.,35.838888,-106.36373,United States of America,2024.0,4.0,28.0
Rubus idaeus L.,43.181728,-77.508677,United States of America,2024.0,4.0,30.0
Rubus idaeus subsp. strigosus (Michx.) Focke,46.706725,-92.013983,United States of America,2024.0,4.0,23.0
